"","Year","Month","Week","Day","ActiveEnergy","ReactiveEnergy","Kitchen","Laundry","EWAC"
"1",2007,1,1,1,45816.733329,2469.4333336,0,352,5880
"2",2007,1,1,2,21153.933333,3172.3666666,0,348,6562
"3",2007,1,1,3,16900.900008,3278.8000005,0,344,4765
"4",2007,1,1,4,54323.533339,3371.6999986,1051,7597,10896
"5",2007,1,1,5,45222.733314,2885.8999998,1483,379,7602
"6",2007,1,1,6,25139.633328,3203.1333341,1336,402,5678
"7",2007,1,1,7,40793.666668,4101.2333338,1987,8177,12810
"8",2007,1,2,8,37356,3459.4666663,0,467,17547
"9",2007,1,2,9,31150.900011,3454.1333331,1688,4267,9790
"10",2007,1,2,10,35913.333336,3807.533335,771,4456,11012
"11",2007,1,2,11,37586.566651,3833.6666661,1378,2170,12415
"12",2007,1,2,12,24354.933323,3319.0000007,0,439,8276
"13",2007,1,2,13,53113.566628,4845.6000008,7806,2975,11341
"14",2007,1,2,14,50183.966665,3790.5333348,1777,4215,12991
"15",2007,1,3,15,35811.30001,2914.3333338,1099,2239,15163
"16",2007,1,3,16,28106.733319,3090.4666656,2063,644,6583
"17",2007,1,3,17,47461.466682,3345.8666669,3500,5737,16064
"18",2007,1,3,18,30357.699992,2961.8666677,0,336,13491
"19",2007,1,3,19,24674.000008,2834.1999997,2103,330,7172
"20",2007,1,3,20,52228.866658,3972.7000008,4324,5222,11440
"21",2007,1,3,21,56787.700006,3828.9333327,10346,5567,11599
"22",2007,1,4,22,36341.566666,2810.7000001,1054,2983,11361
"23",2007,1,4,23,29627.33331,2304.666666,0,1064,5061
"24",2007,1,4,24,49797.566665,2967.6666662,3464,2480,11744
"25",2007,1,4,25,26605.733343,2402.6666671,1158,262,11239
"26",2007,1,4,26,26966.200009,2381.7000002,1163,261,8238
"27",2007,1,4,27,34067.866673,2470.7000008,1170,3896,12374
"28",2007,1,4,28,51539.166674,2560.1000003,3466,3997,12062
"29",2007,1,5,29,33044.39999,2761.5999991,1123,294,15254
"30",2007,1,5,30,28463.299987,3015.566667,1123,1424,8149
"31",2007,1,5,31,39395.866663,3099.799998,0,5950,15052
"32",2007,2,5,1,30412.666675,2504.3999999,1170,386,13145
"33",2007,2,5,2,27795.599998,2325.6999989,0,356,11338
"34",2007,2,5,3,67162.03334,4097.0666669,4746,4573,17834
"35",2007,2,5,4,59932.333349,3108.2333333,3391,4597,14472
"36",2007,2,6,5,27421.333346,2453.7999997,896,2564,7849
"37",2007,2,6,6,21224.666666,2376.0999988,1185,405,4517
"38",2007,2,6,7,38800.300008,2961.8000007,3299,3513,11986
"39",2007,2,6,8,30023.566648,2314.933333,2226,366,10157
"40",2007,2,6,9,27003.30002,2634.4333339,0,3045,9770
"41",2007,2,6,10,47155.466656,3216.2333332,5071,2831,14405
"42",2007,2,6,11,59520.466675,3405.2333342,2430,4765,13114
"43",2007,2,7,12,31293.499984,2278.4000017,2227,399,11517
"44",2007,2,7,13,23575.766663,2244.6333341,0,2828,6256
"45",2007,2,7,14,41644.53334,3375.0999995,3295,3793,11579
"46",2007,2,7,15,33089.100004,2766.0666675,0,2363,14028
"47",2007,2,7,16,28375.466674,2528.1000002,1148,859,8689
"48",2007,2,7,17,34615.20001,3982.7999999,1765,2226,7157
"49",2007,2,7,18,63829.366674,4258.6999996,6107,8003,13129
"50",2007,2,8,19,36443.56667,2943.0666691,1634,2900,13085
"51",2007,2,8,20,52498.800009,3119.2999993,2058,5191,9713
"52",2007,2,8,21,34547.900013,3164.4999971,3527,2332,11548
"53",2007,2,8,22,56259.500007,2301.2333334,1409,4129,12285
"54",2007,2,8,23,21891.333326,2489.0666674,0,503,10786
"55",2007,2,8,24,11915.366679,2036.7000004,0,363,3562
"56",2007,2,8,25,8362.333328,1895.5999994,0,329,1660
"57",2007,2,9,26,9474.733327,1804.6666668,0,331,2830
"58",2007,2,9,27,8635.19999,1886.7333319,0,314,1924
"59",2007,2,9,28,8679.566658,1889.5333322,0,340,1973
"60",2007,3,9,1,8626.066637,1793.7999989,0,316,1980
"61",2007,3,9,2,8594.800003,1783.4666664,0,340,1969
"62",2007,3,9,3,13652.033321,2249.8666673,0,347,4597
"63",2007,3,9,4,34844.999988,2928.033333,1476,8711,9408
"64",2007,3,10,5,44338.866652,3432.6000011,5727,12109,10026
"65",2007,3,10,6,20775.000005,3102.4666682,0,1740,4700
"66",2007,3,10,7,39586.766663,2853.3333348,1076,4761,15513
"67",2007,3,10,8,26202.199992,3123.3999995,2180,3385,6655
"68",2007,3,10,9,21210.199984,1987.3000011,1093,345,8631
"69",2007,3,10,10,41411.866668,4058.8000005,4130,5422,10979
"70",2007,3,10,11,58010.6,2889.5666666,4810,3420,9500
"71",2007,3,11,12,32511.133343,2240.3666671,1403,2841,12353
"72",2007,3,11,13,21502.399996,2111.966666,1350,3859,5323
"73",2007,3,11,14,29889.399999,2625.3666707,3485,480,8607
"74",2007,3,11,15,31413.566683,2655.4333336,0,3263,11036
"75",2007,3,11,16,28367.566664,2170.1333322,1106,4604,5370
"76",2007,3,11,17,33801.50003,2117.800002,2208,359,12275
"77",2007,3,11,18,39517.433331,4024.1666657,6564,7369,5856
"78",2007,3,12,19,35875.300007,2412.733334,1648,2686,14118
"79",2007,3,12,20,34770.466657,2747.8333324,3745,2837,11255
"80",2007,3,12,21,35701.53334,2380.5000002,1865,4133,12335
"81",2007,3,12,22,24249.633347,1897.1000001,353,736,10462
"82",2007,3,12,23,21816.799975,1991.4666673,1127,777,8369
"83",2007,3,12,24,49473.833323,3183.7333324,3707,5797,16382
"84",2007,3,12,25,55608.433337,3934.999999,4630,3600,9358
"85",2007,3,13,26,23601.36665,2682.7666676,1088,344,9096
"86",2007,3,13,27,18418.999978,2528.7666669,0,3019,3697
"87",2007,3,13,28,38898.299999,3275.2999994,1122,8527,13888
"88",2007,3,13,29,26506.766689,3311.6000013,1162,460,10724
"89",2007,3,13,30,23373.233342,3018.7999998,1094,468,8217
"90",2007,3,13,31,58491.833325,3858.3999997,2620,7707,17682
"91",2007,4,13,1,46432.533336,3375.8666663,4629,5401,19509
"92",2007,4,14,2,32679.633311,2905.6000024,1755,970,16641
"93",2007,4,14,3,27380.333334,2812.666667,3630,1042,7637
"94",2007,4,14,4,34197.799993,2871.9666656,3434,420,14748
"95",2007,4,14,5,30734.633324,4075.6333336,1086,4277,10523
"96",2007,4,14,6,26685.666663,2386.9000008,0,5466,9166
"97",2007,4,14,7,25898.733343,2312.1666673,1127,3111,5923
"98",2007,4,14,8,26813.599999,2264.7000001,0,485,3545
"99",2007,4,15,9,16681.999998,2668.5000005,2667,514,3801
"100",2007,4,15,10,12956.066662,2482.3333347,209,742,2572
"101",2007,4,15,11,14791.36666,3207.4333347,0,1112,6421
"102",2007,4,15,12,8961.766667,2463.5333322,0,541,1818
"103",2007,4,15,13,9183.700045,2527.3333328,0,558,1988
"104",2007,4,15,14,9237.799997,2593.5000005,0,578,2008
"105",2007,4,15,15,12102.733311,2859.0666661,0,1026,2893
"106",2007,4,16,16,15873.166677,3101.2333339,952,1305,4656
"107",2007,4,16,17,20395.566636,3639.2333325,1532,389,6199
"108",2007,4,16,18,16637.433333,2753.7333333,1579,355,3430
"109",2007,4,16,19,17144.299983,2494.3333333,733,1605,5748
"110",2007,4,16,20,13709.66665,2427.433334,1069,360,3499
"111",2007,4,16,21,27894.266654,3544.3000007,6575,463,11129
"112",2007,4,16,22,37228.566665,4453.2333346,4264,2287,11102
"113",2007,4,17,23,17576.100026,2260.6666659,1402,506,6005
"114",2007,4,17,24,17201.666676,2254.4000011,1125,527,6680
"115",2007,4,17,25,21069.366672,2745.5999983,0,1469,8812
"116",2007,4,17,26,21257.766659,2726.7666675,1324,1845,7163
"117",2007,4,17,27,18238.866677,2698.8000015,1772,545,4756
"118",2007,4,17,28,10842.4278732583,4380.69726322121,0,18,0
"119",2007,4,17,29,8223.01638747583,3199.50807627712,0,0,0
"120",2007,4,18,30,10789.3230167658,2535.91138975166,1214,500,1131
"121",2007,5,18,1,27730.966657,3026.8000004,4005,995,8546
"122",2007,5,18,2,16724.766666,2668.2000003,7,1490,3754
"123",2007,5,18,3,18170.633331,2515.7000006,1906,1725,7836
"124",2007,5,18,4,16635.466685,2912.3333327,2259,538,3990
"125",2007,5,18,5,26050.866675,2901.6999989,2913,2493,11303
"126",2007,5,18,6,35035.066685,3038.933332,3215,949,10095
"127",2007,5,19,7,27394.399977,2815.3000018,946,4935,9433
"128",2007,5,19,8,29821.533342,3026.8666667,4581,2011,8777
"129",2007,5,19,9,27762.266661,3058.0666679,3018,5631,9474
"130",2007,5,19,10,11798.066682,2805.2333347,946,534,3261
"131",2007,5,19,11,16319.233318,2201.6000006,926,491,6471
"132",2007,5,19,12,24026.099972,3486.2,2247,1075,10408
"133",2007,5,19,13,27245.633331,3677.8333298,3612,2414,8958
"134",2007,5,20,14,24463.033341,4975.866668,3176,2417,5517
"135",2007,5,20,15,15073.200006,1853.0333358,0,408,5318
"136",2007,5,20,16,28215.733306,2264.9000015,2213,5756,9077
"137",2007,5,20,17,20530.266668,2186.4666677,1014,2073,7687
"138",2007,5,20,18,27192.166683,2854.3000016,3270,3913,8116
"139",2007,5,20,19,23824.033349,2797.633334,4683,530,7022
"140",2007,5,20,20,32805.46667,3125.5333352,5420,1733,7611
"141",2007,5,21,21,18667.700001,1954.6666676,0,468,9060
"142",2007,5,21,22,18880.866644,2148.6000037,931,3966,3984
"143",2007,5,21,23,24415.600003,2764.6333323,956,3792,8119
"144",2007,5,21,24,19239.799997,2259.3333347,955,4116,4746
"145",2007,5,21,25,26903.666672,2909.7999991,8060,586,6539
"146",2007,5,21,26,25204.133345,2904.0000014,2373,2754,8628
"147",2007,5,21,27,35896.799999,3664.9000017,4366,5534,10444
"148",2007,5,22,28,27291.133344,2518.3333354,4554,473,9586
"149",2007,5,22,29,17688.999996,1887.3999992,0,1907,4332
"150",2007,5,22,30,26831.100019,2450.9666676,2250,5948,7804
"151",2007,5,22,31,15642.499998,2159.766668,935,477,3552
"152",2007,6,22,1,17422.899979,2390.3333344,0,483,7664
"153",2007,6,22,2,24739.366678,2768.4666694,3971,1250,7633
"154",2007,6,22,3,35133.766654,3040.9666671,4985,7529,8334
"155",2007,6,23,4,15193.633323,3719.8666673,1585,836,4533
"156",2007,6,23,5,24314.866655,4261.5333329,4484,1027,6448
"157",2007,6,23,6,28259.533337,3852.3000004,3330,829,11680
"158",2007,6,23,7,16416.700004,2872.2333341,985,699,3959
"159",2007,6,23,8,35800.766665,3828.8666664,2799,11440,11380
"160",2007,6,23,9,18216.999995,3845.599998,852,599,6590
"161",2007,6,23,10,22346.866678,3984.8666689,4202,1924,5983
"162",2007,6,24,11,13244.233348,3243.8999986,0,487,5328
"163",2007,6,24,12,15312.766668,3606.9333349,1882,475,3898
"164",2007,6,24,13,15454.533347,3471.0000007,957,857,5216
"165",2007,6,24,14,20984.733326,3861.6,3322,2147,7054
"166",2007,6,24,15,16493.40003,4196.0333325,2269,4011,4547
"167",2007,6,24,16,33629.366724,5125.9666665,3289,4498,11108
"168",2007,6,24,17,32451.500018,3996.8999989,4124,5038,8734
"169",2007,6,25,18,11307.899977,3013.5,0,529,4241
"170",2007,6,25,19,14086.666653,3136.0999999,973,537,4391
"171",2007,6,25,20,17904.766672,3788.3666667,1761,2588,5106
"172",2007,6,25,21,13449.100015,3709.0999999,932,2400,3711
"173",2007,6,25,22,9438.233336,3475.433332,0,951,3482
"174",2007,6,25,23,7959.433346,3218.6666665,0,786,2402
"175",2007,6,25,24,11910.93333,2989.3666675,0,791,3449
"176",2007,6,26,25,17870.03331,3287.8333339,1985,3621,4816
"177",2007,6,26,26,15748.466651,3040.333332,971,1334,5231
"178",2007,6,26,27,24680.433338,3449.9666688,2603,6451,7270
"179",2007,6,26,28,21590.633343,3624.1000006,0,4368,9541
"180",2007,6,26,29,21740.699986,3436.5666654,4363,667,6797
"181",2007,6,26,30,22255.23332,3139.2333324,3049,792,8376
"182",2007,7,26,1,17111.066652,2874.1333346,969,736,4690
"183",2007,7,27,2,16117.20001,2948.7333336,1018,5281,3445
"184",2007,7,27,3,17665.199976,3005.6333342,467,3214,4695
"185",2007,7,27,4,16723.50002,4222.2333345,2329,2218,5632
"186",2007,7,27,5,17621.499979,4111.9333322,2922,770,3973
"187",2007,7,27,6,17825.399979,3655.8333335,2826,3563,4005
"188",2007,7,27,7,22636.766687,3567.3999986,997,3047,10177
"189",2007,7,27,8,18151.333324,3281.9999976,1825,2831,5277
"190",2007,7,28,9,19669.30001,2873.7000006,923,594,9386
"191",2007,7,28,10,15138.733356,2937.3999994,67,2227,4631
"192",2007,7,28,11,12039.200001,2564.2666686,1015,647,5284
"193",2007,7,28,12,17826.366686,3484.9666677,1029,2550,6419
"194",2007,7,28,13,13239.699996,3444.9000015,0,633,4427
"195",2007,7,28,14,21469.500012,4307.4999984,3775,1968,6604
"196",2007,7,28,15,17444.033313,4622.3333389,862,715,5585
"197",2007,7,29,16,14227.900005,3899.3333343,830,695,4176
"198",2007,7,29,17,11993.86667,2934.8000001,848,694,3335
"199",2007,7,29,18,12618.033327,2608.5666696,909,671,4628
"200",2007,7,29,19,11298.099998,3116.8666652,1068,703,3130
"201",2007,7,29,20,18507.033308,3718.6333334,2111,2418,4765
"202",2007,7,29,21,17670.799994,3935.9666657,428,512,7756
"203",2007,7,29,22,22954.333311,3645.9333339,7091,2136,5573
"204",2007,7,30,23,16516.966636,2396.1666676,1747,1288,3847
"205",2007,7,30,24,13754.733371,1880.166665,0,1607,5599
"206",2007,7,30,25,7876.000008,1803.9000009,0,151,2333
"207",2007,7,30,26,15408.333385,1918.2000007,975,3633,4346
"208",2007,7,30,27,20041.900023,2007.5999995,1837,49,7157
"209",2007,7,30,28,27031.03332,2978.8333346,907,10265,6559
"210",2007,7,30,29,5351.933343,1976.2666655,0,0,1288
"211",2007,7,31,30,7780.266677,2158.200001,0,0,2528
"212",2007,7,31,31,13538.866676,2429.7666651,3277,0,3575
"213",2007,8,31,1,17741.599986,2419.3333347,1583,0,9812
"214",2007,8,31,2,16990.266646,2415.9,482,0,6869
"215",2007,8,31,3,17722.733318,2089.8000013,958,0,9139
"216",2007,8,31,4,19083.166684,2320.4333358,552,398,7966
"217",2007,8,31,5,13118.299992,2520.9000015,169,0,6647
"218",2007,8,32,6,18162.000007,2573.8999991,1096,0,7985
"219",2007,8,32,7,24726.333345,2186.3666648,437,2168,9042
"220",2007,8,32,8,18758.033319,1984.9333329,1055,1111,9660
"221",2007,8,32,9,17861.333313,1824.5666666,182,4515,6646
"222",2007,8,32,10,17133.500003,1960.9333332,336,2651,8287
"223",2007,8,32,11,18194.166629,1929.5000011,1180,910,10339
"224",2007,8,32,12,20698.399959,2129.5999996,1123,1156,8582
"225",2007,8,33,13,19216.866668,2182.3333339,93,476,11101
"226",2007,8,33,14,15686.499971,2200.1666639,951,685,6256
"227",2007,8,33,15,19864.333343,2662.7333337,338,508,9787
"228",2007,8,33,16,15974.933322,2192.1999998,962,0,7476
"229",2007,8,33,17,16831.533283,2123.1333325,244,0,7769
"230",2007,8,33,18,5799.333214,1987.3333335,0,0,1830
"231",2007,8,33,19,23704.899935,2666.9666676,1025,8912,5989
"232",2007,8,34,20,22314.033345,2597.9999998,1032,6965,7383
"233",2007,8,34,21,10709.266661,2621.8000017,0,38,3296
"234",2007,8,34,22,20163.466627,2571.4666657,3048,1836,7241
"235",2007,8,34,23,18538.533311,2632.5666663,2502,259,5342
"236",2007,8,34,24,27608.399997,4380.1999974,1891,3784,9944
"237",2007,8,34,25,19181.333342,4542.4666654,4149,2191,5678
"238",2007,8,34,26,21915.100016,4989.7999985,1541,3645,5658
"239",2007,8,35,27,20195.499986,4984.7333343,2305,1229,6344
"240",2007,8,35,28,16616.733328,3018.5666667,1038,2468,5483
"241",2007,8,35,29,12466.533347,2923.7666663,957,562,4932
"242",2007,8,35,30,20040.966697,3184.1333352,3822,2580,4221
"243",2007,8,35,31,21330.366656,3120.9333322,1200,666,8738
"244",2007,9,35,1,28358.100013,4830.766667,2497,569,9733
"245",2007,9,35,2,27707.799968,3859.9666668,3613,1617,8806
"246",2007,9,36,3,17315.36669,3140.3666651,621,2515,5323
"247",2007,9,36,4,26415.733313,2993.7666662,2928,3501,9821
"248",2007,9,36,5,20609.533333,2481.0666663,0,4144,6705
"249",2007,9,36,6,15024.566652,2867.1000002,0,3888,3461
"250",2007,9,36,7,22274.933301,3028.9666648,3632,551,9388
"251",2007,9,36,8,24495.866617,3105.4999996,3339,1801,9164
"252",2007,9,36,9,27991.69997,3485.8666667,2184,4438,9233
"253",2007,9,37,10,18622.933328,2958.3000003,935,595,5613
"254",2007,9,37,11,16392.866649,2529.4000032,943,550,5792
"255",2007,9,37,12,21462.733336,2863.2333329,0,3217,7755
"256",2007,9,37,13,19106.36671,2765.9666663,1175,2523,3853
"257",2007,9,37,14,18924.500005,3052.1000001,901,676,5804
"258",2007,9,37,15,18255.19999,3074.4333351,0,1449,6464
"259",2007,9,37,16,27537.066658,3205.8666678,3118,3064,9310
"260",2007,9,38,17,24353.100004,3371.8999981,6651,926,6279
"261",2007,9,38,18,19458.666634,2452.2,1888,2029,5425
"262",2007,9,38,19,21644.733315,2529.8999998,0,2743,7937
"263",2007,9,38,20,20925.533318,2215.1333339,1056,489,9996
"264",2007,9,38,21,20646.333281,2547.233331,3130,2745,6316
"265",2007,9,38,22,19602.866695,3057.1999995,944,1311,7688
"266",2007,9,38,23,23632.833306,4049.5666671,2831,1929,7382
"267",2007,9,39,24,22575.499987,3293.7333355,929,3935,7955
"268",2007,9,39,25,29405.70002,2167.9666677,916,2253,9820
"269",2007,9,39,26,30492.200013,2820.466669,1058,9417,5695
"270",2007,9,39,27,23210.000025,2511.833333,1066,643,7324
"271",2007,9,39,28,28008.299999,3711.9666663,996,3722,9952
"272",2007,9,39,29,38275.366671,3035.3666656,4085,7457,8190
"273",2007,9,39,30,25271.499997,2726.4666655,1405,582,10225
"274",2007,10,40,1,28682.033321,2445.5666678,1507,6622,5960
"275",2007,10,40,2,36647.733331,2697.133333,508,8022,12815
"276",2007,10,40,3,21340.900012,2628.9666663,979,5024,3692
"277",2007,10,40,4,25307.633354,2307.4666663,2400,444,9710
"278",2007,10,40,5,23234.866666,2510.5999996,0,351,9425
"279",2007,10,40,6,29270.666664,3103.2000014,4840,347,9666
"280",2007,10,40,7,35101.9,2552.9666681,2498,8255,10886
"281",2007,10,41,8,18254.033326,2031.6000023,0,420,5082
"282",2007,10,41,9,28130.966687,2663.3666671,2034,2147,9290
"283",2007,10,41,10,19449.533336,2212.5333344,1863,2117,3345
"284",2007,10,41,11,28874.09999,2551.8000001,2630,414,7806
"285",2007,10,41,12,31908.40001,2299.7333333,1020,5028,11659
"286",2007,10,41,13,32112.133352,2086.7333333,969,3799,8463
"287",2007,10,41,14,34354.199993,2500.8333337,2930,7494,7126
"288",2007,10,42,15,21105.49998,1969.7000022,1061,339,7654
"289",2007,10,42,16,32740.699985,3090.2333342,0,7871,9876
"290",2007,10,42,17,26282.166651,2273.3333339,1065,453,8968
"291",2007,10,42,18,25308.833343,2041.6666669,1162,317,9864
"292",2007,10,42,19,34760.799997,2024.6333344,1299,3124,11648
"293",2007,10,42,20,27670.766675,2325.733333,2363,296,13225
"294",2007,10,42,21,32365.666652,2567.133334,3712,4357,7313
"295",2007,10,43,22,27548.266661,1940.1666667,0,299,13027
"296",2007,10,43,23,32640.066647,2138.3333362,1067,5186,10680
"297",2007,10,43,24,31093.933329,2446.3666674,4459,364,9115
"298",2007,10,43,25,30898.63334,2203.3333339,1478,2433,7385
"299",2007,10,43,26,23959.466681,1827.9333352,0,348,5766
"300",2007,10,43,27,29761.466684,1819.7666674,1374,4856,8949
"301",2007,10,43,28,8535.966674,1538.2999999,0,283,1765
"302",2007,10,44,29,9090.466652,1449.9666662,0,269,2749
"303",2007,10,44,30,13516.800017,1497.3333345,0,1935,4256
"304",2007,10,44,31,21386.83334,1786.6666666,0,4700,8915
"305",2007,11,44,1,8270.266674,1417.433333,0,293,1991
"306",2007,11,44,2,24060.033316,1556.033336,1346,2115,12245
"307",2007,11,44,3,8209.166648,1468.7333319,0,282,1936
"308",2007,11,44,4,24761.433349,2313.3666664,0,4387,7068
"309",2007,11,45,5,25009.866663,2189.1666661,1265,397,6583
"310",2007,11,45,6,34706.299986,3342.1000016,1105,5515,10690
"311",2007,11,45,7,30745.966676,3225.3333343,5042,301,6374
"312",2007,11,45,8,25017.666655,2244.9666659,1715,314,6500
"313",2007,11,45,9,36187.100013,1887.3666674,0,4573,15375
"314",2007,11,45,10,43526.666647,3960.8666689,3697,304,13767
"315",2007,11,45,11,31452.066667,3093.5000005,3445,320,6024
"316",2007,11,46,12,35935.766668,2291.133336,1018,4165,13281
"317",2007,11,46,13,36906.633338,2349.2000009,978,4933,11076
"318",2007,11,46,14,34133.233331,2359.833333,1055,295,16345
"319",2007,11,46,15,24866.466646,2217.766667,1606,571,7503
"320",2007,11,46,16,38495.900015,2066.2999989,1991,4660,13564
"321",2007,11,46,17,43501.566669,2800.5000007,2588,2199,14990
"322",2007,11,46,18,36397.633336,2696.0333336,5201,2097,7066
"323",2007,11,47,19,28727.566673,1867.1666666,1089,253,10750
"324",2007,11,47,20,34930.933317,2080.5333335,1015,3954,11026
"325",2007,11,47,21,29253.533316,2193.5333331,1141,549,9473
"326",2007,11,47,22,32206.299994,2385.1333358,2867,297,9001
"327",2007,11,47,23,42043.633329,2315.2000008,2168,6181,13685
"328",2007,11,47,24,31650.899996,2508.5333316,1573,4131,13451
"329",2007,11,47,25,23259.966694,2046.2666689,3556,279,5678
"330",2007,11,48,26,26161.93333,1950.8333332,1088,288,8926
"331",2007,11,48,27,46683.533338,2333.2333337,1063,11020,15111
"332",2007,11,48,28,27415.666664,1924.0333338,1182,769,7810
"333",2007,11,48,29,28657.533347,1978.5000003,2031,283,8818
"334",2007,11,48,30,38862.133347,2454.6666685,0,7941,13601
"335",2007,12,48,1,52249.033343,4814.8666665,9356,353,17847
"336",2007,12,48,2,49103.133325,5418.033334,2090,6915,10636
"337",2007,12,49,3,29367.66667,2198.5666664,1141,299,10428
"338",2007,12,49,4,34460.599981,2416.933334,1012,5828,8561
"339",2007,12,49,5,35885.333331,2973.2999981,3422,295,10919
"340",2007,12,49,6,41465.566674,2698.9333336,4751,318,11908
"341",2007,12,49,7,29483.599983,2460.6666673,459,3710,10263
"342",2007,12,49,8,36890.066649,2572.3333327,1133,2354,12283
"343",2007,12,49,9,37909.733334,3348.9333336,4176,2428,8728
"344",2007,12,50,10,29312.566651,2083.5333356,1102,278,8281
"345",2007,12,50,11,38418.400014,2228.3000008,1050,3817,12740
"346",2007,12,50,12,26467.699984,1948.099999,1152,254,7759
"347",2007,12,50,13,30795.766677,1858.1666664,1103,1448,8911
"348",2007,12,50,14,32913.466656,2992.4999992,980,3849,12941
"349",2007,12,50,15,45614.599992,2627.0999983,1706,3687,14313
"350",2007,12,50,16,46036.966676,2115.6333348,3410,2281,12929
"351",2007,12,51,17,29973.700002,1753.2333356,1636,243,10567
"352",2007,12,51,18,43719.899997,2401.3333331,1123,5810,11093
"353",2007,12,51,19,36600.866666,1822.2666664,1233,2658,11679
"354",2007,12,51,20,32495.966643,1990.566666,1859,276,13592
"355",2007,12,51,21,33042.933328,1774.5000004,1191,200,12251
"356",2007,12,51,22,43521.066661,2355.2333352,3819,4550,12673
"357",2007,12,51,23,40150.800002,2937.8666675,1971,3091,11962
"358",2007,12,52,24,37630.799996,2495.9000012,2985,2316,14350
"359",2007,12,52,25,44916.13334,2530.2000016,4588,3368,9084
"360",2007,12,52,26,43004.666681,2338.5666666,1109,2773,9480
