"","Year","Week","ActiveEnergy","ReactiveEnergy","Kitchen","Laundry","EWAC"
"1",2007,1,249351.133319,22482.566667,5857,17599,54193
"2",2007,2,269659.266614,26509.9333368,13420,18989,83372
"3",2007,3,275427.766675,22948.3666672,23435,20075,81512
"4",2007,4,254945.43334,17898.2000007,11475,14943,72079
"5",2007,5,286206.200002,20912.3666631,11553,17580,95244
"6",2007,6,251149.100019,19362.5333335,15107,17489,71798
"7",2007,7,256422.933349,21433.8000025,14542,20471,72355
"8",2007,8,221918.800032,17949.4666661,8628,15747,62639
"9",2007,9,92507.399924,14336.0999965,1476,10699,24681
"10",2007,10,251535.499964,21447.4666718,19016,31182,66004
"11",2007,11,217003.000046,17945.2333373,16116,22775,60820
"12",2007,12,257495.999986,18548.3666654,17075,20566,82279
"13",2007,13,235723.033319,22051.500001,11715,25926,82813
"14",2007,14,204390.399967,19629.6333368,11032,15771,68183
"15",2007,15,83915.43334,18801.7000015,2876,5071,21501
"16",2007,16,148882.966598,22413.5000023,16704,6764,45763
"17",2007,17,114409.210970734,20266.4386737983,5623,4910,33416
"18",2007,18,151137.089715766,19599.5780546517,15519,8690,46655
"19",2007,19,164367.233283,21071.1000015,16276,17091,56782
"20",2007,20,172103.900023,20057.7333438,19776,16830,50348
"21",2007,21,169208.566661,18605.9333405,17641,21216,51520
"22",2007,22,164749.766668,17216.2333411,16695,18067,48905
"23",2007,23,160549.366657,26365.266668,18237,17354,50573
"24",2007,24,147570.533461,27502.3333321,15843,17513,45885
"25",2007,25,86057.033329,23330.5333325,3666,8582,26782
"26",2007,26,140996.5666,22852.1666677,13940,17969,46721
"27",2007,27,126740.899975,24793.7666642,12384,20924,37204
"28",2007,28,116826.833374,24235.0666751,7671,9334,42336
"29",2007,29,109270.066613,23860.1000022,13285,7829,33363
"30",2007,30,105980.900086,14961.1333338,5466,16993,31129
"31",2007,31,105975.199979,16354.3333394,7021,398,46536
"32",2007,32,135533.766575,14589.7999973,5409,12511,60541
"33",2007,33,117078.399736,16014.8666649,3613,10581,50208
"34",2007,34,140430.133299,24336.2999948,14163,18718,44542
"35",2007,35,146715.999995,25922.8666685,15432,9691,48257
"36",2007,36,154127.699876,21102.6333289,12704,20838,53095
"37",2007,37,140301.666676,20449.3000057,7072,12074,44591
"38",2007,38,150264.066553,20223.1333294,16500,12172,51023
"39",2007,39,197238.566712,20267.8000026,10455,28009,59161
"40",2007,40,199585.733348,18245.9000025,12732,29065,62154
"41",2007,41,193083.366694,16346.6000042,11446,21419,52771
"42",2007,42,200234.433283,16292.4333386,10662,16757,68548
"43",2007,43,184437.800016,13914.2000067,8378,13769,56687
"44",2007,44,109294.999996,11489.5333346,1346,13981,39160
"45",2007,45,226645.633307,19943.3000047,16269,11724,65313
"46",2007,46,250237.200003,16780.7666701,14437,18920,83825
"47",2007,47,222072.833319,15396.3666703,13409,15644,73064
"48",2007,48,269132.966694,20874.16667,16810,27569,82749
"49",2007,49,245462.566622,18669.6666657,16094,15232,73090
"50",2007,50,249559.46665,15853.3333341,10503,15614,77874
"51",2007,51,259505.233299,15035.0000042,12832,16828,83817
"52",2007,52,317270.299967,20293.1666741,23215,24532,85088
"53",2007,53,36942.366665,2425.5999993,0,3457,14071
"54",2008,1,231834.166621,14577.6000035,10199,15018,72474
"55",2008,2,253572.233313,14939.9333407,23944,7671,66978
"56",2008,3,236028.433342,14567.966671,8281,18319,70945
"57",2008,4,260285.900025,14873.2333418,16685,15177,74020
"58",2008,5,240973.133358,17327.3333386,12754,14458,68205
"59",2008,6,226497.933278,14889.2666721,9782,16465,69148
"60",2008,7,221547.433355,14034.4000013,11206,12353,70415
"61",2008,8,189184.833281,14889.2333371,9141,15422,60905
"62",2008,9,104350.400039,11785.9333309,0,13413,22116
"63",2008,10,225002.766695,16420.166667,15613,17130,52192
"64",2008,11,215753.099978,18014.2333335,11814,21465,70460
"65",2008,12,215025.133326,18397.8666698,17276,18375,71952
"66",2008,13,215011.433392,16623.4666754,18407,13570,78040
"67",2008,14,196455.266676,17583.56667,10791,15689,73313
"68",2008,15,230905.999967,23089.2333334,17445,20903,87000
"69",2008,16,193783.433409,21395.7999983,11254,18324,72666
"70",2008,17,131116.133342,20845.5333335,5131,9954,45565
"71",2008,18,154593.766639,22339.2000013,9773,10906,50603
"72",2008,19,197907.766634,27805.4333315,17875,9995,74073
"73",2008,20,172778.733297,28218.1333398,11333,17512,62464
"74",2008,21,171427.000025,25330.7666649,10656,14781,70570
"75",2008,22,165329.16668,24209.6999948,8772,12821,67694
"76",2008,23,171250.400036,20206.7666672,14085,19159,64671
"77",2008,24,171696.566667,28854.7666653,16957,17629,66617
"78",2008,25,180922.399965,26819.2333333,23233,15500,79713
"79",2008,26,143162.366701,26786.8999966,11587,10058,61454
"80",2008,27,144339.400042,27122.9666708,13689,16971,54154
"81",2008,28,137873.93331,25366.999994,12319,9888,53104
"82",2008,29,137594.23334,23092.7666674,11352,9279,53425
"83",2008,30,107179.000046,22284.7666693,4301,4167,46877
"84",2008,31,112262.766643,24504.4666659,6834,10941,36899
"85",2008,32,47886.433107,23047.5999966,635,3471,19357
"86",2008,33,32314.133243,21105.2333252,0,3120,12082
"87",2008,34,30520.70009,19991.9000036,0,2994,10958
"88",2008,35,67866.299772,20836.2999946,3006,6370,30240
"89",2008,36,157039.566635,21305.6666655,15510,14443,62147
"90",2008,37,163122.733261,20558.2,10680,7913,63058
"91",2008,38,166024.033288,20056.033338,12705,10002,69029
"92",2008,39,181234.933357,22406.3666685,11533,11351,72450
"93",2008,40,187991.999963,18938.6999971,13490,11048,64921
"94",2008,41,202141.100009,18902.2666661,8834,17690,72851
"95",2008,42,218253.266665,18419.1000071,8503,23413,65221
"96",2008,43,171954.300018,16677.9000003,10964,10159,58833
"97",2008,44,131883.500031,14252.1000127,4263,2401,28862
"98",2008,45,238824.133366,19526.5333392,18100,21729,60427
"99",2008,46,240452.166697,16462.2333369,14376,11709,75495
"100",2008,47,254778.333346,16799.7333375,10676,14305,70024
"101",2008,48,248659.666767,16354.9333436,15037,7456,77147
"102",2008,49,236751.26666,16563.2666756,11469,7552,78104
"103",2008,50,218654.566687,16362.6000035,12536,10235,69627
"104",2008,51,240308.133397,15363.6333413,11304,17150,83299
"105",2008,52,174177.666684,13825.3333353,5740,3722,49681
"106",2008,53,52657.100019,4041.3000029,2975,491,19005
"107",2009,1,216030.433309,17427.4333332,15013,19838,59419
"108",2009,2,217576.299954,15204.7000077,15343,11082,76445
"109",2009,3,266332.733294,17517.4666747,18934,16220,86666
"110",2009,4,233559.366696,15409.5000026,15463,18663,70641
"111",2009,5,245099.233352,16611.8000048,15963,15842,85805
"112",2009,6,255028.933359,17625.4333389,19608,16247,91659
"113",2009,7,175316.566648,13361.6666707,6954,4859,69488
"114",2009,8,197655.166664,15731.0000043,12174,15013,56022
"115",2009,9,207626.633356,18491.6666723,18456,11761,66631
"116",2009,10,220109.799991,16227.6000037,14929,14545,78637
"117",2009,11,202408.366642,18045.0666714,8989,10740,84222
"118",2009,12,184526.100024,17256.3333348,14088,9059,65792
"119",2009,13,205743.833294,18782.9666682,13335,10559,70438
"120",2009,14,183364.466678,18095.3666664,11692,8677,72040
"121",2009,15,210892.800003,24293.3666667,19672,17430,78978
"122",2009,16,188056.233311,20115.3000021,9074,12832,67372
"123",2009,17,181035.200019,21397.9000014,10234,10935,66836
"124",2009,18,184993.499961,18703.0666632,9825,12129,74598
"125",2009,19,174805.333341,19299.899999,11070,11997,68187
"126",2009,20,178579.399991,20520.7333371,10719,14360,72549
"127",2009,21,161760.433372,20915.5999991,6223,8962,74582
"128",2009,22,148817.566675,22745.6333316,10489,5357,67268
"129",2009,23,151058.066609,20283.3666709,8808,10875,65200
"130",2009,24,163664.516658,23018.2500025,5883,4769.5,87337
"131",2009,25,131383.233285,19851.9000045,6077,6954,67730
"132",2009,26,137300.866662,29286.633336,7854,7108,61584
"133",2009,27,134247.099959,33802.8333341,8513,12900,52362
"134",2009,28,94543.233429,25110.1666676,5150,6696,39947
"135",2009,29,95286.600129,27318.200004,914,6057,37727
"136",2009,30,86080.966676,27048.1333421,1795,10558,37811
"137",2009,31,74878.133331,24602.9999994,865,9040,31853
"138",2009,32,90690.366677,30211.9999949,3753,10228,35252
"139",2009,33,117517.549982,33569.2500042,9888,10563,40043.5
"140",2009,34,131422.066708,35734.2999971,14086,8800,51606
"141",2009,35,139898.933351,29199.1333358,7243,6669,60091
"142",2009,36,147452.133321,25172.8333321,11464,11557,60073
"143",2009,37,178955.000023,26731.8666652,20304,7678,72109
"144",2009,38,184491.833408,25884.433332,12075,9910,77871
"145",2009,39,162932.433282,25936.3666715,6812,15643,70568
"146",2009,40,171726.166631,23290.2666642,9502,11010,69732
"147",2009,41,189877.466596,23298.1333368,14693,12378,74708
"148",2009,42,206108.366704,19448.3000059,11726,12631,78048
"149",2009,43,194598.53331,21886.4333334,14490,9066,75875
"150",2009,44,212777.033341,23293.4666678,11252,17544,70118
"151",2009,45,201174.300003,22018.6333361,12815,9424,76721
"152",2009,46,223094.866661,21597.133339,16535,17178,81652
"153",2009,47,232730.066646,20110.9333373,16547,13360,80314
"154",2009,48,205613.333271,19272.5666673,8757,12017,79557
"155",2009,49,224548.499971,23772.0333317,13163,9343,78422
"156",2009,50,215459.166668,23049.400003,12784,10888,80992
"157",2009,51,203142.933342,17163.6999996,8033,4438,85844
"158",2009,52,266763.133294,24243.3999947,22678,21030,95606
"159",2009,53,36864.866634,3110.1999994,0,387,19409
"160",2010,1,199834.100006,18817.7666677,11661,9641,71649
"161",2010,2,259280.134363,21593.1667725,13167,14923,92839.5
"162",2010,3,250960.29999,23143.3333369,12426,10403,105548
"163",2010,4,259012.633335,19643.1333395,13319,14955,107117
"164",2010,5,263423.466659,18944.6333356,10862,19479,129553
"165",2010,6,245978.666753,19121.5333316,11556,10667,103092
"166",2010,7,227391.799981,15203.0666642,12976,13594,100982
"167",2010,8,223456.866656,17725.7333391,15430,16245,94496
"168",2010,9,138020.433349,15652.1333342,6674,5138,53000
"169",2010,10,189864.033317,18533.7333328,9406,14181,71053
"170",2010,11,208357.666675,21645.2333323,11064,14177,88236
"171",2010,12,190958.233371,28209.7833335,6779,13608,71833.5
"172",2010,13,207298.366716,24920.7333281,7835,19694,87767
"173",2010,14,188919.366681,21403.900006,7006,8120,86118
"174",2010,15,175189.699985,19873.5666703,13046,9866,78222
"175",2010,16,186315.333342,19263.9333403,8174,10596,93280
"176",2010,17,142448.899993,23468.1666614,5495,6718,57110
"177",2010,18,177658.600046,19837.2333442,10486,17557,74469
"178",2010,19,189548.000057,18905.7000092,11826,12062,84906
"179",2010,20,189955.999992,19077.2000047,10889,6357,89308
"180",2010,21,168815.133383,25047.4000039,8410,11099,74492
"181",2010,22,168303.033411,18684.8666677,13078,7467,81036
"182",2010,23,171682.966651,25143.7333324,26344,8276,73341
"183",2010,24,172625.500009,24218.63334,13899,13091,76352
"184",2010,25,169006.800035,23878.0666662,15888,18536,72555
"185",2010,26,146558.466661,32479.9000004,6607,7190,59526
"186",2010,27,132774.233334,29581.9666693,4259,6422,48670
"187",2010,28,149475.499994,31873.6333328,7924,8708,52174
"188",2010,29,105400.666584,25241.599998,2039,5442,36956
"189",2010,30,107941.733442,25700.3666687,2605,11784,39315
"190",2010,31,65051.100145,20875.7666756,0,3752,29038
"191",2010,32,62203.399942,19986.0666685,0,3649,28156
"192",2010,33,114332.320055324,16405.5461208881,2470,7879.37138508371,29724
"193",2010,34,105807.113308676,22222.6538813119,969,8151.62861491629,30323
"194",2010,35,183128.399948,23885.4000034,11936,13553,84308
"195",2010,36,163842.13326,20698.866668,12061,8066,66956
"196",2010,37,153939.000021,23579.1666652,7914,9301,61968
"197",2010,38,156993.633314,20570.3666665,9752,10924,71663
"198",2010,39,189024.700009,10965.9000015,4262,2523,81250.5
"199",2010,40,200245.866681,20792.9000087,15608,8833,73587
"200",2010,41,208873.833318,26824.466671,11930,11906,82734
"201",2010,42,189445.733353,22995.4000067,7875,17847,66053
"202",2010,43,186465.333378,21748.1999989,7928,19648,68493
"203",2010,44,187604.299983,23357.1666719,11908,15527,56148
"204",2010,45,213051.266661,19256.9666676,11915,11303,74461
"205",2010,46,206495.033392,18757.4000006,12852,7307,68150
"206",2010,47,191913.333371,15411.86667,13265,9778,63168
"207",2010,48,24801.733347,2013.7666672,1080,385,9989
